"TOA5","44341","CR1000X","44341","CR1000X.Std.06.01","CPU:ICECAPS-MELT.CR1X","40326","sci"
"TIMESTAMP","scantime","PTemp_Avg","batt_volt_Avg","amp_meter_12vdc_Avg","watts_on_12vdc_Avg","vaisala_RH_Avg","vaisala_RH_Std","vaisala_T_Avg","vaisala_T_Std","vaisala_P_Avg","vaisala_P_Std","metek_x_Avg(1)","metek_x_Std(1)","metek_y_Avg(1)","metek_y_Std(1)","metek_z_Avg(1)","metek_z_Std(1)","metek_T_Avg(1)","metek_T_Std(1)","sr30_swu_DegC_Avg","sr30_swu_DegC_Std","sr30_swu_IrrC_Avg","sr30_swu_IrrC_Std","sr30_swu_Irr_Avg","sr30_swu_Irr_Std","sr30_swd_DegC_Avg","sr30_swd_DegC_Std","sr30_swd_IrrC_Avg","sr30_swd_IrrC_Std","sr30_swd_Irr_Avg","sr30_swd_Irr_Std","spn1_tot_Avg","spn1_tot_Std","spn1_dif_Avg","spn1_dif_Std","ir20_lwu_DegC_Avg","ir20_lwu_DegC_Std","ir20_lwu_Wm2_Avg","ir20_lwu_Wm2_Std","ir20_lwu_mV_Avg","ir20_lwu_mV_Std","ir20_lwd_DegC_Avg","ir20_lwd_DegC_Std","ir20_lwd_Wm2_Avg","ir20_lwd_Wm2_Std","ir20_lwd_mV_Avg","ir20_lwd_mV_Std","snowd_current_Avg","snowd_current_Std","snowd_dist_Avg","snowd_dist_Std","apogee_body_T_Avg","apogee_body_T_Std","apogee_targ_T_Avg","apogee_targ_T_Std","fp_A_mV_Avg","fp_A_mV_Std","fp_A_Wm2_Avg","fp_A_Wm2_Std","fp_B_mV_Avg","fp_B_mV_Std","fp_B_Wm2_Avg","fp_B_Wm2_Std","fp_C_mV_Avg","fp_C_mV_Std","fp_C_Wm2_Avg","fp_C_Wm2_Std","sr50_dist_Avg","sr50_dist_Std","sr50_qc_Avg","licor_co2_out_Avg","licor_co2_out_Std","licor_h2o_out_Avg","licor_h2o_out_Std","licor_t_out_Avg","licor_t_out_Std","licor_co2_str_out_Avg","licor_co2_str_out_Std","metek_InclX_Avg(1)","metek_InclY_Avg(1)","sr30_swd_tilt_Avg","sr30_swu_tilt_Avg","sr30_swu_fantach_Avg","sr30_swu_heatA_Avg","sr30_swd_fantach_Avg","sr30_swd_heatA_Avg","ir20_lwu_fan_Avg","ir20_lwd_fan_Avg"
"TS","","degC","V","A","W","%","%","degC","degC","hPa","hPa","m/s","m/s","m/s","m/s","m/s","m/s","degC","degC","degC","degC","Wm2","Wm2","Wm2","Wm2","degC","degC","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","degC","degC","Wm2","Wm2","mV","mV","degC","degC","Wm2","Wm2","mV","mV","mA","mA","m","m","degC","degC","degC","degC","mV","mV","Wm2","Wm2","mV","mV","Wm2","Wm2","mV","mV","Wm2","Wm2","m","m","code","mg/m3","mg/m3","g/m3","g/m3","degC","degC","","","deg","deg","deg","deg","Hz","mA","Hz","mA","mV","mV"
"","Smp","Avg","Avg","Avg","Avg","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-05-11 12:01:00",4.109,-0.7035828,11.94939,5.051944,60.36724,79.92741,0.3107084,-14.50822,0.01685954,767.9896,0.003682848,-1.333667,0.275362,7.380499,0.4347259,0.3433333,0.2598697,-14.24517,0.04689865,-8.858333,0.008975038,478.6783,0.4366296,475.275,0.4339596,-9.066666,0.01105524,644.9783,0.4806644,639.475,0.4783101,657.1667,0.5990873,82.63333,0.8013862,-11.34711,0.002950405,257.8912,0.0578546,-0.1007462,0.0007592594,-11.89725,0.002682829,186.1882,0.05088512,-0.9789503,0.0007068504,38.9,0,0.622,0,-12.6485,0.00350511,-14.79223,0.0469188,0.6800444,0.0134338,10.52537,0.2079215,0.06504781,0.01822276,1.013048,0.2837995,0.09258946,0.0009343517,1.503808,0.01517544,1.767167,0.0003726954,195,666.4152,0.20603,1.173445,0.007902012,-13.66167,0.007442771,97.82934,0.01574233,1.152833,0.954,3.088,176.4,162.7,293.3,156.1,293.3,135.6,192
"2024-05-11 12:02:00",3.785,-0.7026367,11.98372,4.962836,59.47336,79.77604,0.3498678,-14.51522,0.01993807,767.9909,0.005368627,-1.260167,0.7902148,7.310833,0.6897493,0.1921667,0.2947221,-14.24867,0.06681244,-8.826667,0.0188563,480.3116,0.4837919,476.9116,0.4845389,-9.04,0.01290999,646.7717,0.5714695,641.2683,0.5694808,658.0333,0.6182504,82.06666,0.8013862,-11.34533,0.00216156,258.0133,0.05810072,-0.09938042,0.0006554565,-11.89164,0.002360442,186.1533,0.09857804,-0.9796544,0.001188031,38.9,0,0.622,0,-12.64065,0.0006213715,-14.79938,0.02994075,0.6620482,0.01197249,10.24684,0.1853039,0.06713968,0.01655151,1.045627,0.2577715,0.09155402,0.0007737215,1.486991,0.01256651,1.767,0,197,666.5252,0.101572,1.172955,0.0083226,-13.67152,0.008009081,97.82438,0.02044625,1.085167,0.9118333,2.962,176.4,162.7,293.3,156.1,293.3,136.9,196.4
"2024-05-11 12:03:00",3.777,-0.7014974,11.99176,4.967188,59.56558,79.39127,0.05224888,-14.5059,0.03222935,770,2.002608,-0.9571666,0.6782673,7.911999,0.493399,-0.005833333,0.2521781,-14.22767,0.06964371,-8.8,0.025166,481.8833,0.4921594,478.4816,0.4941467,-9.009999,0.011547,648.53,0.438939,643.0317,0.4419846,659.4,0.7615796,82.9,1.140176,-11.34165,0.001251521,258.0688,0.1212027,-0.09889806,0.001403464,-11.88905,0.002977758,186.1997,0.07824248,-0.9791945,0.001047054,38.9,0,0.622,0,-12.63493,0.002709599,-14.78772,0.02723843,0.6711123,0.01375178,10.38713,0.2128432,0.0472805,0.01263971,0.7363417,0.1968496,0.08897689,0.001436863,1.445134,0.02333708,1.767333,0.0004714265,195,666.2904,0.1644911,1.171835,0.006938618,-13.66247,0.006362877,97.82144,0.01168827,1.124833,0.9808333,3.105,176.3,162.7,293.7,156.1,293.7,135.7,193.5
"2024-05-11 12:04:00",3.861,-0.7010854,11.98849,5.046412,60.49693,79.4624,0.1885775,-14.4884,0.03809376,772.0104,0.003682848,-0.8851666,0.3050352,7.713999,0.4807365,0.3218333,0.2715029,-14.20067,0.04237794,-8.78,0.00577336,483.5817,0.46348,480.1766,0.4620504,-8.988334,0.01343697,650.2166,0.5698303,644.7166,0.5693909,659.7833,1.334683,80.98333,1.834317,-11.33693,0.001981738,258.1887,0.07289614,-0.09769893,0.0008226814,-11.88523,0.001222789,186.3163,0.04634267,-0.9779112,0.0006283096,38.9,0,0.622,0,-12.6213,0.004981394,-14.75648,0.05354556,0.6661656,0.02259329,10.31057,0.3496871,0.06200941,0.0245535,0.9657282,0.3823937,0.08813089,0.00115978,1.431394,0.01883675,1.767167,0.0003726954,196,666.2362,0.215534,1.184457,0.005822159,-13.62983,0.01600442,97.8131,0.01684142,1.202,0.9568333,3.003,176.5,162.7,293,156.1,293,135.2,195.8
"2024-05-11 12:05:00",3.822,-0.7014516,12.00892,4.959436,59.55767,79.4624,0.180241,-14.43461,0.02116931,772.0195,0.00390625,-0.9971666,0.4132075,7.088499,0.5603294,0.347,0.2922881,-14.16383,0.0954592,-8.758334,0.01343715,485.2067,0.4813791,481.7966,0.4813748,-8.964999,0.01892966,651.8884,0.5124934,646.3834,0.5176836,660.3333,0.9321494,80.7,1.584298,-11.33108,0.00238543,258.3377,0.1130358,-0.09620909,0.00132542,-11.88094,0.004092723,186.32,0.09333865,-0.978069,0.00126919,38.9,0,0.622,0,-12.60648,0.004083906,-14.7469,0.03963028,0.6406605,0.0218772,9.91581,0.3386041,0.08072398,0.02062963,1.257187,0.3212837,0.09377407,0.001034781,1.523048,0.01680656,1.767167,0.0003726954,196,665.9246,0.2717699,1.17574,0.01093715,-13.6076,0.00562932,97.8117,0.01700819,1.190333,0.9984999,3.145,176.4,162.7,291.8,156,292.5,135.9,192
"2024-05-11 12:06:00",3.818,-0.7020823,11.98908,4.974266,59.63698,79.25814,0.3233959,-14.44087,0.03317977,772.0364,0.007365696,-1.188667,0.3222383,7.869666,0.4360804,0.1555,0.3134069,-14.14033,0.1000028,-8.755,0.0076378,486.82,0.470002,483.4,0.4662593,-8.961667,0.006872,653.7466,0.5941921,648.2283,0.5883146,662.15,0.5251951,81.23333,0.5962842,-11.32556,0.003777176,258.446,0.07245046,-0.0951885,0.0007004908,-11.86468,0.002914158,186.4072,0.04955201,-0.9777463,0.0004926994,38.9,0,0.622,0,-12.59305,0.00404349,-14.6968,0.03095791,0.6337013,0.00850799,9.808098,0.1316821,0.08831274,0.01350559,1.375374,0.2103346,0.09528694,0.001290959,1.54762,0.02096735,1.767167,0.0003726953,196,665.8073,0.1823726,1.176157,0.01128232,-13.6078,0.009441878,97.82007,0.01586576,1.1565,1.066833,3.017,176.4,162.7,291,156.1,291,136.7,194.1
"2024-05-11 12:07:00",3.78,-0.7035624,11.97425,5.051639,60.48982,79.26839,0.3488992,-14.36843,0.01778885,772.0495,0.003682848,-1.081833,0.1373395,7.743999,0.7925667,0.3691666,0.4085819,-14.1205,0.1042908,-8.741666,0.01572344,488.3966,0.3970598,484.9716,0.398353,-8.929999,0.01527519,655.3133,0.3937602,649.8016,0.3960349,662.6333,1.172849,80.41666,1.222589,-11.31447,0.004124154,258.5995,0.07860162,-0.09389576,0.0008029675,-11.85138,0.004868436,186.5226,0.03999258,-0.976929,0.0004209506,38.9,0,0.622,0,-12.57307,0.006511554,-14.65333,0.03229887,0.6237245,0.01349718,9.653685,0.2089022,0.0795625,0.01143417,1.239098,0.1780746,0.09798318,0.0009117649,1.591411,0.0148086,1.766667,0.0004713704,197,665.7808,0.1802804,1.184867,0.01009144,-13.55773,0.02023777,97.81265,0.01801104,1.169333,1.071167,3.057,176.5,162.7,291.8,156.1,291.8,135.1,193.7
"2024-05-11 12:08:00",3.776,-0.7059886,12.04846,4.063182,48.95518,79.40348,0.1585829,-14.38597,0.005431977,772.0534,0.002911547,-0.7231666,0.363309,7.7915,0.4883754,0.0415,0.2670479,-13.755,0.3068343,-8.711666,0.02034428,489.755,0.3953382,486.3333,0.3999063,-8.891666,0.008975156,656.9366,0.5170948,651.4316,0.5169577,663.6334,0.3726844,80.15,1.128052,-11.29818,0.005365735,258.8237,0.05786173,-0.09201492,0.0005810806,-11.83736,0.00663832,186.5965,0.04205646,-0.9766671,0.000645396,38.9,0,0.622,0,-12.55033,0.005677064,-14.60318,0.03491746,0.5877609,0.01302674,9.097058,0.2016211,0.095846,0.0117966,1.492696,0.183719,0.1003466,0.0005059126,1.629798,0.008216851,1.767,0,195,665.7258,0.2485843,1.17434,0.00643728,-13.51465,0.005682084,97.8207,0.01272002,1.159667,0.9483333,3.16,176.3,162.7,294.2,156,294.2,140.9,203.1
"2024-05-11 12:09:00",3.795,-0.7089335,12.04994,4.065284,48.98677,79.51546,0.1905402,-14.31247,0.01889725,772.0612,0.002911547,"NAN","NAN","NAN","NAN","NAN","NAN",-12.8775,0.1640048,-8.679999,0.01732053,491.2316,0.3891576,487.81,0.3906818,-8.863334,0.01374369,658.59,0.3989998,653.0867,0.4004052,664.5,1.436435,79.31666,1.81422,-11.27991,0.005770217,258.9003,0.0668368,-0.09198371,0.0006100393,-11.81397,0.007136721,186.6886,0.05907307,-0.9766229,0.0007150003,39.83333,1.319932,0.622,0,-12.53052,0.006980132,-14.5447,0.03359345,0.5532277,0.02190596,8.56257,0.3390488,0.1155237,0.01908479,1.799154,0.2972246,0.1068928,0.002801702,1.736118,0.04550436,1.7665,0.0004999638,194,665.6533,0.2004821,1.188058,0.01025916,-13.48088,0.01828686,97.82438,0.01394571,1.1515,0.9901666,3.087,176.4,162.7,294.7,156,294.8,141.9,202.4
"2024-05-11 12:10:00",3.78,-0.7111714,12.04091,4.145192,49.90892,79.85221,0.3069948,-14.33384,0.004562375,772.0651,0.003682848,"NAN","NAN","NAN","NAN","NAN","NAN",-12.51733,0.07633414,-8.638334,0.0211475,492.5866,0.4186779,489.1733,0.4177238,-8.816666,0.01795064,660.1083,0.5270232,654.6184,0.5274977,666,0.7094588,80.16666,0.5962842,-11.25708,0.00677301,259.0273,0.1160425,-0.09157258,0.001216985,-11.78978,0.006648226,186.688,0.05840525,-0.9777796,0.000818769,41.7,0,0.622,0,-12.5,0.009754681,-14.52647,0.02608368,0.5438281,0.01206567,8.417089,0.1867461,0.1094949,0.01222819,1.705262,0.1904406,0.108344,0.0008329596,1.759688,0.01352866,1.766667,0.0004713704,193,665.6216,0.09620097,1.185188,0.007519574,-13.45382,0.0110592,97.82136,0.01457848,1.177667,1.101833,3.123,176.4,162.7,293.2,156,293.2,140.6,200.6
"2024-05-11 12:11:00",3.734,-0.7122701,12.02606,4.152894,49.94222,79.6276,0.2169381,-14.27637,0.04529672,772.0638,0.005368627,"NAN","NAN","NAN","NAN","NAN","NAN",-12.42533,0.2918977,-8.598334,0.01674988,494.2616,0.49266,490.85,0.4928148,-8.776666,0.01972031,662.0367,0.5473058,656.5533,0.5563545,667.3666,1.038688,79.88333,0.9529204,-11.23523,0.007220152,259.2351,0.05702458,-0.09015513,0.0006225644,-11.76822,0.007617015,186.72,0.09343001,-0.9784022,0.001087739,41.7,0,0.622,0,-12.46828,0.007010422,-14.48613,0.04451246,0.5511342,0.02717643,8.530167,0.4206227,0.09966743,0.02609554,1.552211,0.4064093,0.1053971,0.001621711,1.711825,0.0263393,1.766667,0.0004713704,195,665.2802,0.213581,1.184275,0.01145373,-13.44367,0.01378019,97.81926,0.01386689,1.162167,0.965,2.962,176.3,162.7,294.3,156.1,294.3,140.6,200.5
"2024-05-11 12:12:00",3.744,-0.7122955,11.98848,4.926978,59.0666,79.25944,0.3211137,-14.24268,0.01603712,772.0651,0.003682848,"NAN","NAN","NAN","NAN","NAN","NAN",-12.62233,0.3100464,-8.578333,0.0167497,495.8183,0.4116428,492.405,0.4154484,-8.743333,0.02357014,663.7466,0.4372898,658.2683,0.4379184,668.3833,0.4947035,79.61666,0.6335543,-11.21057,0.007205066,259.3124,0.1111521,-0.09042373,0.001040633,-11.74037,0.00917801,186.8477,0.04826003,-0.9781234,0.0008584714,41.7,0,0.622,0,-12.44505,0.007218634,-14.48687,0.05494957,0.5216361,0.03350239,8.073613,0.5185326,0.1270798,0.02092307,1.979128,0.3258538,0.1100199,0.003170669,1.786907,0.05149699,1.7665,0.0004999638,195,665.31,0.1327015,1.196522,0.009133414,-13.40072,0.02056413,97.82691,0.01194283,1.132,0.9981666,3.052,176.5,162.7,293.3,156,293.3,137.2,198
