"TOA5","44341","CR1000X","44341","CR1000X.Std.06.01","CPU:ICECAPS-MELT.CR1X","40326","sci"
"TIMESTAMP","scantime","PTemp_Avg","batt_volt_Avg","amp_meter_12vdc_Avg","watts_on_12vdc_Avg","vaisala_RH_Avg","vaisala_RH_Std","vaisala_T_Avg","vaisala_T_Std","vaisala_P_Avg","vaisala_P_Std","metek_x_Avg(1)","metek_x_Std(1)","metek_y_Avg(1)","metek_y_Std(1)","metek_z_Avg(1)","metek_z_Std(1)","metek_T_Avg(1)","metek_T_Std(1)","sr30_swu_DegC_Avg","sr30_swu_DegC_Std","sr30_swu_IrrC_Avg","sr30_swu_IrrC_Std","sr30_swu_Irr_Avg","sr30_swu_Irr_Std","sr30_swd_DegC_Avg","sr30_swd_DegC_Std","sr30_swd_IrrC_Avg","sr30_swd_IrrC_Std","sr30_swd_Irr_Avg","sr30_swd_Irr_Std","spn1_tot_Avg","spn1_tot_Std","spn1_dif_Avg","spn1_dif_Std","ir20_lwu_DegC_Avg","ir20_lwu_DegC_Std","ir20_lwu_Wm2_Avg","ir20_lwu_Wm2_Std","ir20_lwu_mV_Avg","ir20_lwu_mV_Std","ir20_lwd_DegC_Avg","ir20_lwd_DegC_Std","ir20_lwd_Wm2_Avg","ir20_lwd_Wm2_Std","ir20_lwd_mV_Avg","ir20_lwd_mV_Std","snowd_current_Avg","snowd_current_Std","snowd_dist_Avg","snowd_dist_Std","apogee_body_T_Avg","apogee_body_T_Std","apogee_targ_T_Avg","apogee_targ_T_Std","fp_A_mV_Avg","fp_A_mV_Std","fp_A_Wm2_Avg","fp_A_Wm2_Std","fp_B_mV_Avg","fp_B_mV_Std","fp_B_Wm2_Avg","fp_B_Wm2_Std","fp_C_mV_Avg","fp_C_mV_Std","fp_C_Wm2_Avg","fp_C_Wm2_Std","sr50_dist_Avg","sr50_dist_Std","sr50_qc_Avg","licor_co2_out_Avg","licor_co2_out_Std","licor_h2o_out_Avg","licor_h2o_out_Std","licor_t_out_Avg","licor_t_out_Std","licor_co2_str_out_Avg","licor_co2_str_out_Std","metek_InclX_Avg(1)","metek_InclY_Avg(1)","sr30_swd_tilt_Avg","sr30_swu_tilt_Avg","sr30_swu_fantach_Avg","sr30_swu_heatA_Avg","sr30_swd_fantach_Avg","sr30_swd_heatA_Avg","ir20_lwu_fan_Avg","ir20_lwd_fan_Avg"
"TS","","degC","V","A","W","%","%","degC","degC","hPa","hPa","m/s","m/s","m/s","m/s","m/s","m/s","degC","degC","degC","degC","Wm2","Wm2","Wm2","Wm2","degC","degC","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","degC","degC","Wm2","Wm2","mV","mV","degC","degC","Wm2","Wm2","mV","mV","mA","mA","m","m","degC","degC","degC","degC","mV","mV","Wm2","Wm2","mV","mV","Wm2","Wm2","mV","mV","Wm2","Wm2","m","m","code","mg/m3","mg/m3","g/m3","g/m3","degC","degC","","","deg","deg","deg","deg","Hz","mA","Hz","mA","mV","mV"
"","Smp","Avg","Avg","Avg","Avg","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-05-10 17:01:00",3.978,-5.01029,11.69579,4.33497,50.70068,77.39078,0.05445279,-9.170644,0.02159666,769.4922,0,0.1315,0.2242578,2.951833,0.2247335,0.2173333,0.1202216,-9.729999,0.02999445,-0.42,0.01732051,615.3833,0.2661318,614.3616,0.2637796,0.76,0.01290993,751.6233,0.3525815,750.1866,0.349506,689.1333,0.8863239,83.73333,0.7542501,-5.440658,0.001854116,284.3078,0.0790594,-0.08078405,0.0009484202,-6.485087,0.003891387,192.1584,0.03566648,-1.166761,0.0004221582,44.9,0,0.616,0,-1.490267,0.007518771,-8.686317,0.01635466,0.4259194,0.02707499,6.59216,0.4190527,-0.3750976,0.02164354,-5.841732,0.3370743,0.1135416,0.01210727,1.844106,0.1966423,1.7525,0.0007637592,202,649.7391,0.4083236,1.753645,0.01160332,-5.522486,0.01407567,97.83984,0.01690777,1.08,1.0175,3.107,176.4,160.3,294,144.5,294.7,141.2,194.5
"2024-05-10 17:02:00",3.797,-4.979141,11.71042,4.319466,50.58285,77.60074,0.06441469,-9.201955,0.02046267,769.4974,0.003682848,0.2301667,0.1155197,3.082333,0.2380522,0.06983333,0.1092008,-9.702333,0.02687413,-0.385,0.02362907,614.795,0.189181,613.7833,0.1947318,0.7916667,0.01950783,750.4333,0.303342,749.0066,0.2931851,686.9499,0.6184595,83.18333,0.9529202,-5.434962,0.002911107,284.3486,0.1298335,-0.08059592,0.001398111,-6.484522,0.003205431,192.2249,0.05408059,-1.165969,0.0006494144,44.9,0,0.616,0,-1.508317,0.0023996,-8.573833,0.05352432,0.5437913,0.05688843,8.41652,0.8804897,-0.3634361,0.09542101,-5.660118,1.486077,0.08468986,0.006451806,1.375505,0.1047881,1.752667,0.001105515,202,650.0655,0.1515064,1.759958,0.006396694,-5.515934,0.01105334,97.81891,0.008304068,1.055,0.9665,2.93,176.5,160.3,294,144.5,294,139.7,195.4
"2024-05-10 17:03:00",3.832,-4.941869,11.70624,4.308742,50.43909,77.24902,0.3357842,-9.18517,0.02755558,769.5078,0,0.1291667,0.1546829,3.126833,0.196031,0.1046667,0.05831714,-9.703999,0.02552785,-0.39,0.01825741,614.035,0.280033,613.0233,0.2811532,0.8183334,0.01067186,749.4082,0.2106715,747.9916,0.2103467,685.7666,0.6895998,83.18333,0.9529202,-5.433731,0.002526562,284.2737,0.06731587,-0.08153296,0.0008553041,-6.484396,0.002951734,192.2313,0.03823998,-1.165896,0.0003802864,44.9,0,0.616,0,-1.514117,0.001156734,-8.61515,0.0353853,0.5994151,0.0481326,9.277436,0.7449715,-0.369688,0.08062767,-5.757483,1.255687,0.07372599,0.01177851,1.197434,0.1913027,1.752167,0.0003726954,200,649.7941,0.2281216,1.747023,0.008140353,-5.53519,0.00618042,97.82084,0.02164674,1.058167,1.085667,2.95,176.4,160.4,294,144.6,294,141.4,196
"2024-05-10 17:04:00",3.764,-4.93512,11.70056,4.317529,50.51739,77.24512,0.2348621,-9.196117,0.01747121,769.5156,0,0.2138333,0.1084933,2.950833,0.2041359,0.181,0.1174819,-9.691333,0.03298317,-0.4166666,0.01598611,614.1533,0.8902042,613.1366,0.8868582,0.815,0.007637618,748.485,0.323779,747.07,0.3242823,684.9499,0.3253316,83.06666,0.9860139,-5.429362,0.002574091,283.9946,0.09492098,-0.08500966,0.001144922,-6.479482,0.002639883,192.2077,0.06845901,-1.166431,0.000771292,44.9,0,0.616,0,-1.517733,0.002909004,-8.657884,0.03659129,0.6057923,0.01364304,9.376138,0.2111601,-0.3932036,0.0249619,-6.123712,0.3887541,0.0561901,0.003178268,0.9126214,0.0516204,1.753,0.000816486,201,649.8742,0.1230028,1.755542,0.009195789,-5.51496,0.02211654,97.8235,0.01971363,1.0645,1.096167,2.928,176.3,160.3,295,144.6,295,139.8,193.3
"2024-05-10 17:05:00",3.754,-4.957286,11.70213,4.314325,50.48678,77.42285,0.02617357,-9.199238,0.007445678,769.5182,0.003682848,0.04783333,0.1068698,2.99,0.2376019,0.1518333,0.04502005,-9.743833,0.03383967,-0.4183333,0.02114763,613.43,0.6136981,612.4133,0.6159142,0.815,0.01892969,747.3266,0.3049297,745.9116,0.3092648,681.9666,0.9603158,82.06666,0.8013862,-5.42663,0.001950693,283.9023,0.214004,-0.0862247,0.002560725,-6.480174,0.003359322,192.2098,0.04206516,-1.16637,0.0004368165,44.9,0,0.616,0,-1.522583,0.001303088,-8.651917,0.07163991,0.6071429,0.01457255,9.397042,0.2255462,-0.4127761,0.05202547,-6.428533,0.8102395,0.05675854,0.003011093,0.9218538,0.0489052,1.753167,0.0008975288,202,649.9365,0.1638656,1.75828,0.00672448,-5.513692,0.00907853,97.82178,0.0186355,1.105,1.104833,3.017,176.4,160.4,293.5,144.6,293.5,141.2,195
"2024-05-10 17:06:00",3.842,-4.99705,11.71015,4.308348,50.45146,77.55127,0.225003,-9.20284,0.007873825,769.5234,0,0.1603333,0.1546606,2.971667,0.1406256,0.1151667,0.1685471,-9.708667,0.01398409,-0.4266666,0.02054805,613.675,0.7561571,612.655,0.756849,0.8133333,0.01374367,746.2633,0.3251034,744.8483,0.321582,679.5666,1.410281,82.63333,0.8013862,-5.425146,0.003634686,283.9288,0.1333362,-0.08599096,0.001639569,-6.478632,0.004575209,192.2343,0.03041271,-1.166144,0.0003992007,44.9,0,0.616,0,-1.520933,0.0001972085,-8.657583,0.0476892,0.6191729,0.005221876,9.583236,0.08082138,-0.4512062,0.02811294,-7.02704,0.4378281,0.04506796,0.00336655,0.7319792,0.05467842,1.753,0.0008164861,202,650.0053,0.1298372,1.754488,0.007984192,-5.530076,0.007566359,97.81875,0.01807693,1.035833,1.051,2.935,176.5,160.3,295.7,144.6,295.7,139.3,196.8
"2024-05-10 17:07:00",3.791,-5.070856,11.69307,4.310646,50.40459,77.86051,0.2638601,-9.200276,0.008162347,769.5286,0.003682848,0.01533333,0.2218187,2.997167,0.1305212,0.185,0.1079676,-9.693499,0.02361329,-0.4533333,0.01247219,613.1166,0.5177007,612.085,0.5191212,0.8099999,0.008164958,744.8434,0.3434954,743.4366,0.3431517,675.7334,1.655971,82.63333,0.8013862,-5.422816,0.002539838,283.7796,0.04567757,-0.08784893,0.0005777212,-6.477783,0.004204122,192.2728,0.05754522,-1.165711,0.0006342794,44.9,0,0.616,0,-1.517333,0.001359756,-8.670466,0.02944574,0.6549451,0.01915382,10.1369,0.2964528,-0.4544129,0.01251052,-7.076981,0.1948376,0.0389482,0.002403034,0.6325842,0.03902931,1.753667,0.0004713704,201,649.968,0.2803849,1.76074,0.004723854,-5.528908,0.003441099,97.8287,0.01652961,1.051,1.075167,2.987,176.4,160.3,294.3,144.6,294.3,139.9,195.1
"2024-05-10 17:08:00",3.765,-5.152135,11.68598,4.326006,50.55344,78.09684,0.04698141,-9.201549,0.004358984,769.5351,0.00390625,0.0745,0.142722,2.976166,0.1555725,0.2433333,0.1315531,-9.694166,0.02715641,-0.48,0.02160247,611.8583,0.2637103,610.8283,0.2561599,0.7999999,0.02380478,743.6166,0.318634,742.205,0.3264255,670.3666,1.526058,82.63333,0.8013862,-5.423803,0.001752784,283.7654,0.06708001,-0.08796519,0.0008087728,-6.475443,0.003115368,192.3542,0.02625849,-1.164823,0.0003655588,44.9,0,0.616,0,-1.51295,0.001354918,-8.654717,0.05017405,0.695041,0.01588609,10.75748,0.245877,-0.4654832,0.04592945,-7.249387,0.7153006,0.02541112,0.007697888,0.4127192,0.1250266,1.753333,0.0007453375,202,649.9291,0.1763475,1.76138,0.00646595,-5.548353,0.014273,97.84284,0.01229949,0.9588333,1.0675,3.013,176.5,160.4,295,144.7,295,140.2,196.5
"2024-05-10 17:09:00",3.755,-5.215454,11.70136,4.317656,50.52229,78.15706,0.02398991,-9.203929,0.003865413,769.5442,0.003682848,-0.0175,0.08532828,3.089,0.194267,0.1531667,0.1279993,-9.697666,0.0189708,-0.49,0.02645751,611.29,0.271773,610.2566,0.2749332,0.7816666,0.02409471,742.3383,0.3783097,740.9266,0.3836974,664.55,2.406057,82.64999,1.229836,-5.421097,0.002157685,283.7178,0.1359794,-0.08865753,0.001606608,-6.473714,0.0016098,192.3866,0.05329798,-1.164508,0.00063005,44.36666,0.7542484,0.616,0,-1.502517,0.004545114,-8.651083,0.05031318,0.7517884,0.01735511,11.63579,0.2686133,-0.4324064,0.02983725,-6.734254,0.4646824,0.00754591,0.004541942,0.1225582,0.07376877,1.7535,0.0007637462,201,649.9492,0.2420198,1.766685,0.00551932,-5.551463,0.01297202,97.82943,0.01736311,0.9831666,1.009333,2.993,176.4,160.4,294,144.7,294,141.4,192.8
"2024-05-10 17:10:00",3.838,-5.255148,11.69366,4.324967,50.57469,78.04654,0.1622991,-9.201793,0.002389331,769.5456,0.002911547,0.0003333324,0.08358562,3.065833,0.1282399,0.1043333,0.1087071,-9.697499,0.03135684,-0.5116666,0.01462493,610.3233,0.3042837,609.2833,0.3084263,0.7816666,0.01771691,741.05,0.3589848,739.6366,0.3589652,660.3833,0.6938379,82.35,0.8499985,-5.422897,0.003056573,283.7845,0.1201558,-0.08778786,0.00147583,-6.47438,0.003795146,192.3853,0.03984333,-1.164491,0.0004974614,43.3,0,0.616,0,-1.4869,0.003762944,-8.651267,0.07091258,0.8010722,0.01850846,12.39858,0.2864642,-0.3762399,0.01387237,-5.859522,0.2160469,-0.005267088,0.001423234,-0.08554634,0.02311571,1.753,0.0005773428,203,649.8843,0.303643,1.76861,0.007567174,-5.510218,0.007795537,97.82107,0.009908306,1.056167,1.046333,3.003,176.4,160.4,294.2,144.7,294.2,140.2,193.8
"2024-05-10 17:11:00",3.79,-5.276062,11.71285,4.312302,50.50908,77.88379,0.03459568,-9.203155,0.003568121,769.5534,0.002911547,0.1601667,0.05307045,2.900833,0.1594349,0.1855,0.07582601,-9.704166,0.01479202,-0.5333334,0.0137437,609.1817,0.3085644,608.14,0.3101144,0.7683333,0.01067186,739.595,0.400513,738.1799,0.4002079,658.5,0.7571748,80.96666,0.7542466,-5.424896,0.002714578,283.7599,0.06384066,-0.08797473,0.0008070732,-6.473551,0.003330737,192.3537,0.06296066,-1.164922,0.0006984016,43.3,0,0.616,0,-1.477783,0.003356298,-8.699099,0.06243371,0.833638,0.01653061,12.90262,0.2558523,-0.3703402,0.02457517,-5.767642,0.3827314,-0.01248321,0.002775828,-0.2027482,0.0450841,1.7535,0.0007637462,201,649.9848,0.2177355,1.768792,0.00759342,-5.478956,0.01678653,97.84174,0.01499988,1.093667,1.112833,2.982,176.5,160.4,294.8,144.7,294.7,139.5,195.9
