"TOA5","44341","CR1000X","44341","CR1000X.Std.06.01","CPU:ICECAPS-MELT.CR1X","40326","sci"
"TIMESTAMP","scantime","PTemp_Avg","batt_volt_Avg","amp_meter_12vdc_Avg","watts_on_12vdc_Avg","vaisala_RH_Avg","vaisala_RH_Std","vaisala_T_Avg","vaisala_T_Std","vaisala_P_Avg","vaisala_P_Std","metek_x_Avg(1)","metek_x_Std(1)","metek_y_Avg(1)","metek_y_Std(1)","metek_z_Avg(1)","metek_z_Std(1)","metek_T_Avg(1)","metek_T_Std(1)","sr30_swu_DegC_Avg","sr30_swu_DegC_Std","sr30_swu_IrrC_Avg","sr30_swu_IrrC_Std","sr30_swu_Irr_Avg","sr30_swu_Irr_Std","sr30_swd_DegC_Avg","sr30_swd_DegC_Std","sr30_swd_IrrC_Avg","sr30_swd_IrrC_Std","sr30_swd_Irr_Avg","sr30_swd_Irr_Std","spn1_tot_Avg","spn1_tot_Std","spn1_dif_Avg","spn1_dif_Std","ir20_lwu_DegC_Avg","ir20_lwu_DegC_Std","ir20_lwu_Wm2_Avg","ir20_lwu_Wm2_Std","ir20_lwu_mV_Avg","ir20_lwu_mV_Std","ir20_lwd_DegC_Avg","ir20_lwd_DegC_Std","ir20_lwd_Wm2_Avg","ir20_lwd_Wm2_Std","ir20_lwd_mV_Avg","ir20_lwd_mV_Std","snowd_current_Avg","snowd_current_Std","snowd_dist_Avg","snowd_dist_Std","apogee_body_T_Avg","apogee_body_T_Std","apogee_targ_T_Avg","apogee_targ_T_Std","fp_A_mV_Avg","fp_A_mV_Std","fp_A_Wm2_Avg","fp_A_Wm2_Std","fp_B_mV_Avg","fp_B_mV_Std","fp_B_Wm2_Avg","fp_B_Wm2_Std","fp_C_mV_Avg","fp_C_mV_Std","fp_C_Wm2_Avg","fp_C_Wm2_Std","sr50_dist_Avg","sr50_dist_Std","sr50_qc_Avg","licor_co2_out_Avg","licor_co2_out_Std","licor_h2o_out_Avg","licor_h2o_out_Std","licor_t_out_Avg","licor_t_out_Std","licor_co2_str_out_Avg","licor_co2_str_out_Std","metek_InclX_Avg(1)","metek_InclY_Avg(1)","sr30_swd_tilt_Avg","sr30_swu_tilt_Avg","sr30_swu_fantach_Avg","sr30_swu_heatA_Avg","sr30_swd_fantach_Avg","sr30_swd_heatA_Avg","ir20_lwu_fan_Avg","ir20_lwd_fan_Avg"
"TS","","degC","V","A","W","%","%","degC","degC","hPa","hPa","m/s","m/s","m/s","m/s","m/s","m/s","degC","degC","degC","degC","Wm2","Wm2","Wm2","Wm2","degC","degC","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","degC","degC","Wm2","Wm2","mV","mV","degC","degC","Wm2","Wm2","mV","mV","mA","mA","m","m","degC","degC","degC","degC","mV","mV","Wm2","Wm2","mV","mV","Wm2","Wm2","mV","mV","Wm2","Wm2","m","m","code","mg/m3","mg/m3","g/m3","g/m3","degC","degC","","","deg","deg","deg","deg","Hz","mA","Hz","mA","mV","mV"
"","Smp","Avg","Avg","Avg","Avg","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-05-11 21:31:00",5.582,6.467051,11.98764,4.95057,59.34525,82.854,0.08696845,-14.22643,0.05446495,770.0104,0.003682848,0.3491666,0.1566114,3.588667,0.1196351,0.09699999,0.09001666,-13.16817,0.09623494,-8.911666,0.01771667,208.5167,0.5192208,207.0267,0.5183197,-7.938333,0.01572335,247.475,0.6467524,245.6,0.6444147,195.8,1.201385,46.83333,1.19257,-11.01654,0.01381162,248.6404,0.1163335,-0.2264786,0.001830613,-11.93895,0.006153832,182.3942,0.08644984,-1.024627,0.001288273,42.9,0,0.628,0,-9.56625,0.01817832,-17.16393,0.05913107,0.9985154,0.06541458,15.4545,1.012453,-0.6660229,0.01799635,-10.37257,0.2802734,-0.187645,0.001947715,-3.047669,0.03163416,1.776833,0.0008975141,193,663.9907,0.755469,1.38274,0.01940891,-11.76412,0.004900618,98.03465,0.01591778,1.084667,1.024167,3.043,176.4,162.8,293.7,159.5,293.7,143.8,201.5
"2024-05-11 21:32:00",3.769,6.397115,12.00886,4.938364,59.30474,83.08057,0.2997362,-14.10171,0.05077363,770.0156,0,0.5198333,0.1763107,3.630166,0.1587917,0.0075,0.06811938,-12.99867,0.2524783,-8.974999,0.01802773,206.58,0.5818361,205.095,0.5774298,-8.013334,0.01885625,245.21,0.645497,243.3367,0.6436522,193.5833,0.9616273,46.56666,0.5962856,-11.05142,0.007631144,248.921,0.06687262,-0.2214802,0.001063238,-11.95658,0.001624008,182.6266,0.09420764,-1.020873,0.001223837,42.9,0,0.628,0,-9.631166,0.01843734,-17.13285,0.03287447,1.081449,0.04523871,16.73811,0.700181,-0.6334376,0.03285548,-9.865092,0.5116882,-0.1841991,0.001012549,-2.991702,0.01644554,1.7765,0.0007637462,192,663.5462,0.5547508,1.39301,0.02175382,-11.73707,0.01139979,98.02761,0.01207536,1.094333,1.095167,3.11,176.4,162.8,293,159.5,293.2,142.9,204
"2024-05-11 21:33:00",3.767,6.326208,12.01515,4.951306,59.49012,83.90853,0.3945549,-13.90453,0.05853015,770.0182,0.003682848,0.6428333,0.1807433,3.6575,0.1543197,0.1038333,0.0918285,-13.00333,0.1716079,-9.008334,0.01771712,204.5717,0.580442,203.095,0.5784393,-8.051666,0.02114752,242.8933,0.6279242,241.03,0.6297106,190.9,1.096965,45.5,1.788855,-11.06977,0.001519499,249.3276,0.1679123,-0.2157756,0.002028333,-11.94865,0.00390119,182.8793,0.1594494,-1.018073,0.002086584,42.9,0,0.628,0,-9.694034,0.01628353,-16.9613,0.02093794,1.095334,0.03482436,16.95301,0.5389933,-0.5633963,0.02651423,-8.774278,0.41293,-0.177735,0.003980548,-2.886715,0.06465076,1.776,0.0008164861,193,663.251,0.9195003,1.403875,0.02672672,-11.7096,0.009521763,98.0366,0.01669825,1.150333,1.012333,3.04,176.4,162.8,294.5,159.5,294,143.8,201.6
"2024-05-11 21:34:00",3.895,6.253611,12.01242,4.909065,58.96978,85.0083,0.4966092,-13.82386,0.04156348,770.0169,0.002911547,0.3265,0.1132574,3.665,0.3218488,0.07016667,0.06754114,-13.056,0.2416553,-9.03,0.01632992,202.6116,0.541583,201.1383,0.5375984,-8.091666,0.0226693,240.655,0.6361274,238.8017,0.636066,189.0833,0.6743313,45.76666,0.7542466,-11.06496,0.002756046,249.0813,0.1852034,-0.2189307,0.002298456,-11.92225,0.01158001,182.5466,0.2178083,-1.023502,0.003265244,42.9,0,0.628,0,-9.746017,0.01340769,-17.01125,0.06466561,0.9498446,0.06164183,14.7012,0.9540606,-0.4783859,0.02382214,-7.450334,0.3710039,-0.1502218,0.009117972,-2.439854,0.1480912,1.776333,0.0009428039,196,663.9382,0.5288984,1.385827,0.01600242,-11.66858,0.010471,98.0324,0.02055805,1.103833,1.0515,3.018,176.4,162.8,291.8,159.5,291.8,144.7,204.1
"2024-05-11 21:35:00",3.846,6.179962,12.01663,4.9825,59.87091,85.94531,0.1379571,-13.95945,0.06956249,770.0143,0.002911547,0.05783333,0.1532388,3.596666,0.114577,0.07066666,0.09816936,-13.35083,0.2616208,-9.054999,0.009574241,200.8917,0.4504202,199.43,0.4470281,-8.105001,0.02565816,238.5833,0.5271165,236.7417,0.5227947,186.6667,0.9410408,45.5,0.7999993,-11.05702,0.0008089077,248.3891,0.1837626,-0.227529,0.00220191,-11.89771,0.005233725,181.9517,0.1429137,-1.032135,0.001988232,42.9,0,0.628,0,-9.78765,0.01014902,-17.11927,0.06809722,0.8639703,0.05688182,13.37209,0.880387,-0.454496,0.007102879,-7.078274,0.1106196,-0.1219436,0.006413943,-1.980569,0.1041732,1.778167,0.0006872163,192,664.692,0.7431371,1.359992,0.02500492,-11.71835,0.04108652,98.03729,0.02035211,1.140833,1.1165,3.083,176.4,162.8,293.7,159.5,293.7,145,204.3
"2024-05-11 21:36:00",3.783,6.105998,12.02918,4.906312,59.01895,85.99283,0.164846,-14.16005,0.07211874,770.0169,0.002911547,-0.1868333,0.07480958,3.561,0.1304646,0.0645,0.04761915,-13.65267,0.05949702,-9.091666,0.01674983,199.3083,0.4499787,197.85,0.447663,-8.16,0.02081652,236.7017,0.5206872,234.8667,0.5227677,184.8833,0.8744825,45.5,1.22202,-11.06409,0.00533857,247.7909,0.1942365,-0.2342956,0.002067077,-11.90003,0.004892829,181.5528,0.1250031,-1.037034,0.001396221,42.9,0,0.628,0,-9.819633,0.008638763,-17.24273,0.03420358,0.8045554,0.02323472,12.45249,0.359615,-0.4928098,0.0224439,-7.67497,0.3495392,-0.1200793,0.002417337,-1.950288,0.03926162,1.7785,0.0007637592,195,665.3635,0.1331245,1.339685,0.004365178,-11.89555,0.05788357,98.02594,0.008391752,1.096667,1.002667,3.1,176.4,162.8,292.3,159.6,292.3,143.5,207
"2024-05-11 21:37:00",3.767,6.032359,12.00637,4.943473,59.35326,85.27426,0.2451538,-14.39414,0.07035431,770.0261,0.003682848,-0.421,0.1642366,3.395,0.1967723,0.1415,0.05626352,-13.97367,0.2013543,-9.141666,0.02034429,197.6833,0.5152242,196.2317,0.5146654,-8.224999,0.02629946,234.7583,0.6302485,232.9216,0.6264067,183.4333,0.8615234,45.23333,1.19257,-11.09446,0.01141233,247.3358,0.1355166,-0.238251,0.00113031,-11.93184,0.0120964,181.1846,0.1781155,-1.040156,0.001740723,42.9,0,0.628,0,-9.851834,0.009239635,-17.39038,0.05984585,0.6867766,0.05736193,10.62957,0.8878181,-0.4330635,0.03740892,-6.744488,0.5826027,-0.1107633,0.01095759,-1.798982,0.1779697,1.779833,0.001067188,191,666.3361,1.433808,1.309207,0.04472104,-12.09497,0.05634688,98.0541,0.02103797,1.1675,1.052,3.088,176.3,162.8,292.8,159.6,292.8,142.3,202.9
"2024-05-11 21:38:00",3.805,5.957886,12.00784,4.912856,58.9931,85.03922,0.1603124,-14.63944,0.1008009,770.0313,0.004510549,-0.7273333,0.174348,3.114833,0.2206296,0.07416666,0.07170638,-14.2425,0.0925341,-9.208333,0.02910698,195.8983,0.4702624,194.4467,0.4698845,-8.306666,0.03543391,232.675,0.5621308,230.84,0.5603871,181.6833,0.691416,45.23333,0.7542466,-11.14632,0.01912157,246.4917,0.2727563,-0.2458044,0.002356773,-11.99074,0.02104123,180.568,0.1348775,-1.045119,0.0008607581,42.9,0,0.628,0,-9.88385,0.009701846,-17.56587,0.09496111,0.4866912,0.04094682,7.532754,0.6337536,-0.3478692,0.0139573,-5.417679,0.2173695,-0.06722382,0.01218122,-1.091828,0.1978434,1.780666,0.0007453552,195,668.302,0.351973,1.241163,0.009122641,-12.37143,0.09100371,98.03922,0.01097302,1.124167,0.9949999,3.065,176.4,162.8,293.5,159.6,293.5,145,202.5
"2024-05-11 21:39:00",3.853,5.88092,12.01095,4.91463,59.02956,84.94157,0.2837467,-15.00673,0.0938746,770.0351,0.00390625,-0.6981666,0.1693698,3.012167,0.1070832,0.06816666,0.03924885,-14.4755,0.2812271,-9.291667,0.02339257,194.34,0.4525878,192.89,0.4525841,-8.405,0.01892971,230.78,0.5326651,228.94,0.5326689,180.8167,1.133455,46.83333,1.19257,-11.22434,0.02779262,245.6572,0.2683091,-0.2520019,0.001873869,-12.08936,0.03321723,180.2404,0.107921,-1.044582,0.001245056,42.66667,0.3299835,0.629,0.001414195,-9.918817,0.01107632,-17.82058,0.09645679,0.3551411,0.03804648,5.496689,0.5888637,-0.2676629,0.02563508,-4.168555,0.3992382,-0.04486766,0.01090222,-0.7287261,0.1770702,1.782166,0.0003726954,197,668.9596,0.1578322,1.216038,0.007082924,-12.61397,0.04591588,98.0523,0.01807224,1.166833,1.0425,3.072,176.4,162.9,293.5,159.6,293.5,143.7,200.7
"2024-05-11 21:40:00",3.822,5.801478,12.00234,4.952969,59.44731,84.04492,0.3546208,-15.25474,0.04636525,770.0456,0.002911547,-0.6206667,0.1522571,3.037333,0.1314936,0.034,0.06989516,-14.53567,0.2095125,-9.378333,0.01950769,192.6417,0.5099503,191.19,0.509474,-8.509999,0.03511865,228.7617,0.6205204,226.9216,0.620521,178.3,1.246329,46.03333,0.5962842,-11.32984,0.03266655,245.0255,0.1200398,-0.25449,0.0003405199,-12.22261,0.04312457,180.2096,0.07085726,-1.038686,0.002574473,42.2,0,0.631,0,-9.964766,0.01455359,-18.0419,0.07149598,0.4088153,0.02228102,6.327431,0.3448541,-0.3795355,0.02784646,-5.910847,0.4336781,-0.05601643,0.008224446,-0.9098007,0.1335788,1.782833,0.0003726954,192,668.7165,0.4471163,1.220768,0.01252248,-12.73545,0.02171599,98.05781,0.01519845,1.172167,0.9784999,3.062,176.4,162.9,294,159.7,294,145,200.6
"2024-05-11 21:41:00",3.777,5.721044,11.99526,4.949311,59.36884,83.36361,0.3678944,-15.39103,0.04731528,770.0403,0.005368627,-0.417,0.126189,3.176333,0.1184662,0.01666667,0.08716778,-14.34717,0.3070922,-9.485,0.04112976,190.9783,0.4642352,189.5233,0.4666434,-8.611666,0.02852869,226.7533,0.6101511,224.9117,0.6126294,176.8,0.6952254,46.3,0.9237606,-11.45643,0.03719664,244.7006,0.0952909,-0.2523353,0.001220288,-12.36722,0.04390466,180.2885,0.08036917,-1.030881,0.00268237,42.2,0,0.631,0,-10.02023,0.01791175,-18.1619,0.0260357,0.4752339,0.04502932,7.355423,0.6969407,-0.4665899,0.03619533,-7.266624,0.5637024,-0.08745301,0.01646533,-1.420383,0.2674246,1.783,0.0005773772,189,668.9576,1.300087,1.217473,0.04110366,-12.76832,0.003274961,98.0506,0.02054236,1.139,1.012167,3.075,176.4,162.9,292,159.7,292,139.9,198.4
"2024-05-11 21:42:00",3.776,5.641678,11.9952,4.974027,59.66548,82.89469,0.2983263,-15.45365,0.04048945,770.0378,0.002911547,-0.4126666,0.1466045,3.340333,0.0572994,0.01633333,0.049765,-14.349,0.1810571,-9.581666,0.03131383,189.2517,0.4699425,187.7933,0.4723946,-8.708333,0.03624751,224.605,0.5699647,222.7567,0.5713643,175.3167,0.8473809,46.56666,1.099495,-11.58772,0.03634248,244.3465,0.1244835,-0.2503119,0.0004681371,-12.51043,0.04139468,180.2742,0.04200065,-1.024321,0.002213813,42.2,0,0.631,0,-10.0867,0.01977268,-18.24395,0.03550347,0.6557833,0.08153876,10.14987,1.262015,-0.5307737,0.03326337,-8.266216,0.5180403,-0.1224954,0.01063491,-1.98953,0.1727289,1.783,0.0008165346,192,669.2026,0.4455626,1.207343,0.01145016,-12.80263,0.02655426,98.05766,0.01087238,1.157667,1.014,3.128,176.4,162.9,292.8,159.8,292.8,141,197.1
