"TOA5","44341","CR1000X","44341","CR1000X.Std.06.01","CPU:ICECAPS-MELT.CR1X","40326","sci"
"TIMESTAMP","scantime","PTemp_Avg","batt_volt_Avg","amp_meter_12vdc_Avg","watts_on_12vdc_Avg","vaisala_RH_Avg","vaisala_RH_Std","vaisala_T_Avg","vaisala_T_Std","vaisala_P_Avg","vaisala_P_Std","metek_x_Avg(1)","metek_x_Std(1)","metek_y_Avg(1)","metek_y_Std(1)","metek_z_Avg(1)","metek_z_Std(1)","metek_T_Avg(1)","metek_T_Std(1)","sr30_swu_DegC_Avg","sr30_swu_DegC_Std","sr30_swu_IrrC_Avg","sr30_swu_IrrC_Std","sr30_swu_Irr_Avg","sr30_swu_Irr_Std","sr30_swd_DegC_Avg","sr30_swd_DegC_Std","sr30_swd_IrrC_Avg","sr30_swd_IrrC_Std","sr30_swd_Irr_Avg","sr30_swd_Irr_Std","spn1_tot_Avg","spn1_tot_Std","spn1_dif_Avg","spn1_dif_Std","ir20_lwu_DegC_Avg","ir20_lwu_DegC_Std","ir20_lwu_Wm2_Avg","ir20_lwu_Wm2_Std","ir20_lwu_mV_Avg","ir20_lwu_mV_Std","ir20_lwd_DegC_Avg","ir20_lwd_DegC_Std","ir20_lwd_Wm2_Avg","ir20_lwd_Wm2_Std","ir20_lwd_mV_Avg","ir20_lwd_mV_Std","snowd_current_Avg","snowd_current_Std","snowd_dist_Avg","snowd_dist_Std","apogee_body_T_Avg","apogee_body_T_Std","apogee_targ_T_Avg","apogee_targ_T_Std","fp_A_mV_Avg","fp_A_mV_Std","fp_A_Wm2_Avg","fp_A_Wm2_Std","fp_B_mV_Avg","fp_B_mV_Std","fp_B_Wm2_Avg","fp_B_Wm2_Std","fp_C_mV_Avg","fp_C_mV_Std","fp_C_Wm2_Avg","fp_C_Wm2_Std","sr50_dist_Avg","sr50_dist_Std","sr50_qc_Avg","licor_co2_out_Avg","licor_co2_out_Std","licor_h2o_out_Avg","licor_h2o_out_Std","licor_t_out_Avg","licor_t_out_Std","licor_co2_str_out_Avg","licor_co2_str_out_Std","metek_InclX_Avg(1)","metek_InclY_Avg(1)","sr30_swd_tilt_Avg","sr30_swu_tilt_Avg","sr30_swu_fantach_Avg","sr30_swu_heatA_Avg","sr30_swd_fantach_Avg","sr30_swd_heatA_Avg","ir20_lwu_fan_Avg","ir20_lwd_fan_Avg"
"TS","","degC","V","A","W","%","%","degC","degC","hPa","hPa","m/s","m/s","m/s","m/s","m/s","m/s","degC","degC","degC","degC","Wm2","Wm2","Wm2","Wm2","degC","degC","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","degC","degC","Wm2","Wm2","mV","mV","degC","degC","Wm2","Wm2","mV","mV","mA","mA","m","m","degC","degC","degC","degC","mV","mV","Wm2","Wm2","mV","mV","Wm2","Wm2","mV","mV","Wm2","Wm2","m","m","code","mg/m3","mg/m3","g/m3","g/m3","degC","degC","","","deg","deg","deg","deg","Hz","mA","Hz","mA","mV","mV"
"","Smp","Avg","Avg","Avg","Avg","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-05-12 16:01:00",3.938,3.191742,12.07635,4.042493,48.81857,89.09473,0.1500806,-9.351593,0.00663786,780.0222,0.005368627,"NAN","NAN","NAN","NAN","NAN","NAN",-7.631,0.323406,-2.966666,0.007453553,524.7083,5.247958,523.1266,5.229725,-2.315,0.01707824,648.1016,5.793625,645.78,5.76767,630.6166,8.427199,630,7.763148,466.2282,10.42639,16975.71,956.4664,-0.06817001,0.002757272,-5.657272,0.003816802,272.0143,0.2350045,-0.2249252,0.003085732,43.6,0,0.733,0,-7.8253,0.003230682,-8.168333,0.04041078,-2.276141,0.01907727,-35.22892,0.2952669,-1.057954,0.009273402,-16.47647,0.1444232,-0.03200123,0.003213115,-0.5197537,0.05218637,1.8955,0.0009574096,202,657.465,0.996659,1.906173,0.01340536,-7.500057,0.03160561,98.01055,0.01164256,0.9905,0.7231666,1.525,178.2,161,292.3,146.9,292.3,146.9,206.6
"2024-05-12 16:02:00",3.754,3.274638,12.08775,3.98122,48.12404,88.625,0.153145,-9.374929,0.01888504,780.0104,0.005823094,"NAN","NAN","NAN","NAN","NAN","NAN",-7.564833,0.3422511,-2.941667,0.01950781,510.635,2.725116,509.1033,2.712513,-2.278333,0.0226691,630.5767,4.406244,628.3333,4.384757,613.1833,4.871476,613.1,4.985299,463.7958,5.084928,16738.16,459.3955,-0.06831679,0.003962679,-5.660126,0.002309141,272.4308,0.1173219,-0.2196484,0.001494568,43.6,0,0.733,0,-7.8104,0.005575487,-8.101134,0.06292866,-2.225694,0.04947638,-34.44814,0.7657698,-1.06134,0.02062581,-16.5292,0.3212242,-0.02507776,0.003005527,-0.4073048,0.04881479,1.895167,0.0006871826,202,657.8522,0.6056039,1.940582,0.03374416,-7.455205,0.02145728,98.0147,0.01304673,1.015833,0.7553333,1.543,178.3,161,293.8,146.8,293.8,149.7,210.6
"2024-05-12 16:03:00",3.707,3.355942,12.09797,3.99384,48.31712,88.91666,0.4902576,-9.31661,0.03420452,775.9987,0.002911547,"NAN","NAN","NAN","NAN","NAN","NAN",-7.829666,0.4687586,-2.905,0.01499999,511.0316,1.052049,509.5116,1.050177,-2.238333,0.02034424,624.8917,1.743789,622.6833,1.743382,604.9,3.573046,604.3166,3.157207,467.8596,7.744469,17116.45,718.0518,-0.06532884,0.003230803,-5.667414,0.002097989,272.5786,0.09197667,-0.2174436,0.001037923,43.6,0,0.733,0,-7.78385,0.006493125,-8.115516,0.05494316,-2.157357,0.05679518,-33.39044,0.8790465,-1.087373,0.02788623,-16.93464,0.4342971,-0.0147662,0.005769381,-0.2398279,0.09370442,1.894833,0.0006871682,199,658.1725,0.7446603,1.954203,0.02042116,-7.41288,0.01112531,97.96179,0.07128995,1.004,0.7293334,1.523,178.4,160.9,295,146.8,295,149.9,208.7
"2024-05-12 16:04:00",3.695,3.435689,12.07968,3.99838,48.29886,89.34684,0.3255004,-9.334015,0.05405528,775.9922,0,"NAN","NAN","NAN","NAN","NAN","NAN",-7.629333,0.4603536,-2.836666,0.01885616,501.6267,6.018067,500.1566,5.996813,-2.181667,0.01213351,613.9183,8.103798,611.77,8.072182,595.1833,9.926301,595.1833,9.926301,464.3984,6.576638,16795.92,609.272,-0.06593203,0.007064123,-5.673294,0.00307808,272.4228,0.07858361,-0.2190512,0.0008996341,43.6,0,0.733,0,-7.769066,0.007442651,-8.1293,0.09836507,-2.174153,0.06254413,-33.65042,0.9680257,-1.070706,0.02269556,-16.67506,0.3534584,-0.01419068,0.004171139,-0.2304804,0.06774629,1.894,0.0009999871,203,657.525,0.4913816,1.994535,0.03284831,-7.408276,0.04069148,98.00439,0.01532147,1.026167,0.7179999,1.547,178.3,160.9,294.7,146.8,292.5,148.2,208.1
"2024-05-12 16:05:00",3.767,3.513946,12.09711,3.973611,48.06913,89.49594,0.1799848,-9.275981,0.02294228,776.6614,1.493044,"NAN","NAN","NAN","NAN","NAN","NAN",-7.826,0.6464772,-2.796666,0.02134373,506.3766,7.771515,504.9033,7.75403,-2.13,0.01914863,617.3967,9.646004,615.255,9.616314,597.45,9.227454,597.2833,9.007486,470.8745,5.599302,17391.27,524.0823,-0.06498382,0.007761233,-5.676788,0.002872978,272.8347,0.2730598,-0.2137972,0.003417551,43.6,0,0.733,0,-7.73345,0.01034993,-8.051866,0.07157089,-2.193349,0.03982518,-33.94751,0.6163937,-1.036273,0.01287563,-16.13881,0.2005237,-0.01268586,0.004004047,-0.2060396,0.06503244,1.894167,0.0008975141,200,657.3753,0.4808325,1.99441,0.03412842,-7.375977,0.03144601,98.01278,0.01183002,1.004667,0.738,1.55,178.3,160.9,294.7,146.8,294.7,149.2,208.8
"2024-05-12 16:06:00",3.709,3.590932,12.1176,3.964586,48.04117,89.80062,0.3133216,-9.258077,0.03335729,778.0013,2.00391,"NAN","NAN","NAN","NAN","NAN","NAN",-7.804833,0.5511459,-2.731667,0.01572329,518.065,1.067325,516.575,1.062108,-2.073333,0.00471404,632.1883,1.439045,630.0183,1.433759,606.4833,1.918687,606.25,2.038581,473.1534,4.251596,17603.35,397.6074,-0.06842861,0.006453011,-5.669535,0.002747806,272.8752,0.3835237,-0.2136814,0.00480281,43.6,0,0.733,0,-7.688816,0.01061224,-8.1575,0.1295081,-2.09921,0.1383134,-32.49048,2.140743,-1.079378,0.04184934,-16.81012,0.6517572,-0.0190897,0.00948441,-0.3100487,0.1540427,1.895167,0.000897503,199,657.7672,0.7021484,1.975675,0.03800336,-7.348513,0.02968491,98.0047,0.01432018,0.9913333,0.663,1.533,178.3,160.9,291.8,146.8,291.8,148.7,210.4
"2024-05-12 16:07:00",3.691,3.667124,12.09448,3.970072,48.01575,89.09847,0.295573,-9.344838,0.04780373,780.0143,0.002911547,"NAN","NAN","NAN","NAN","NAN","NAN",-8.080333,0.4614347,-2.7,0.008164958,523.1633,4.423956,521.67,4.409318,-2.046667,0.01972025,638.8917,6.19635,636.7083,6.174154,615.8333,6.21279,615.8333,6.21279,469.5711,5.870426,17270.23,543.4246,-0.06482036,0.008970508,-5.672333,0.002141818,273.2284,0.1302142,-0.2091863,0.001693819,43.6,0,0.733,0,-7.691116,0.003478346,-8.107749,0.1376353,-2.181921,0.07159613,-33.77063,1.108127,-1.034934,0.0206931,-16.11796,0.3222725,-0.01774571,0.005865398,-0.2882201,0.0952639,1.893667,0.0004714265,203,658.059,0.190547,1.964205,0.01023573,-7.438113,0.03414607,97.99432,0.01689593,1.009167,0.7344999,1.527,178.4,160.9,294.2,146.7,294.2,149.2,210.5
"2024-05-12 16:08:00",3.7,3.742538,12.10216,3.969041,48.03376,89.39209,0.2465047,-9.317138,0.03213818,780.0247,0.002911547,"NAN","NAN","NAN","NAN","NAN","NAN",-7.865166,0.2946746,-2.661667,0.01067186,523.2566,5.626993,521.77,5.612432,-2.008333,0.02477676,643.8616,6.176768,641.6717,6.148812,621.9333,5.370193,621.9333,5.370193,471.3936,11.3899,17458.97,1069.111,-0.06852888,0.003299256,-5.671432,0.00310769,272.7509,0.1980721,-0.2151112,0.002386949,43.1,0.7071068,0.733,0,-7.670983,0.002970191,-8.137566,0.06258877,-2.142716,0.06225664,-33.16385,0.9635762,-1.107299,0.02446461,-17.24496,0.3810091,-0.01887459,0.003891222,-0.306555,0.06319998,1.894,0.000816486,204,658.0714,0.314165,1.93277,0.05570636,-7.380718,0.02337935,97.99911,0.01691403,1.030333,0.6841666,1.492,178.3,160.9,294,146.7,294,146.8,209.6
"2024-05-12 16:09:00",3.773,3.817164,12.10829,3.973301,48.10973,88.8514,0.1321664,-9.297262,0.02630893,780.03,0.005368627,"NAN","NAN","NAN","NAN","NAN","NAN",-7.592166,0.5173754,-2.633333,0.01247225,494.4716,9.477126,493.0767,9.45247,-1.978333,0.01343708,606.0917,12.50403,604.0467,12.45929,585.8166,13.00262,585.05,12.32298,466.6368,8.654278,17007.24,809.9192,-0.06887884,0.009726902,-5.677572,0.002594273,271.9413,0.5317387,-0.2247526,0.006457973,42.1,0,0.733,0,-7.670133,0.004460764,-8.1529,0.124068,-1.938024,0.1217692,-29.99573,1.884681,-1.040193,0.01218142,-16.19986,0.1897126,-0.02076924,0.00379354,-0.3373272,0.06161344,1.894667,0.0009428039,201,657.622,0.6265091,1.980487,0.0296409,-7.35887,0.02040688,98.00346,0.01842777,1.0745,0.6675,1.492,178.3,160.9,294.3,146.7,294.7,148.7,206.5
"2024-05-12 16:10:00",3.801,3.890508,12.05565,4.733729,57.06801,88.44206,0.1538922,-9.33257,0.03885278,780.0403,0.002911547,"NAN","NAN","NAN","NAN","NAN","NAN",-7.608333,0.2254253,-2.658333,0.01572329,484.695,1.003932,483.32,1.000449,-1.963333,0.01374367,590.42,0.2922992,588.43,0.2896041,566.8666,2.774683,566.8666,2.774683,476.0349,9.798987,17892.36,921.4114,-0.07289222,0.006119606,-5.695689,0.006694272,272.6024,0.4714,-0.2156597,0.006124207,42.1,0,0.733,0,-7.698317,0.006731153,-8.27685,0.09990669,-2.049823,0.110276,-31.7261,1.706796,-1.000801,0.01535161,-15.58638,0.2390845,-0.01820829,0.008564862,-0.2957332,0.1391077,1.894167,0.001067188,202,657.93,0.5769697,1.983032,0.03494536,-7.411331,0.01839279,98.0009,0.01724686,1.086833,0.761,1.547,178.3,160.9,294,146.6,294,145,202
"2024-05-12 16:11:00",3.758,3.962255,12.04734,4.900189,59.03444,89.05826,0.2109463,-9.269389,0.04411697,780.0508,0.00390625,5.639833,0.4222737,1.1555,0.2640156,0.2896667,0.202163,-8.343833,0.1722512,-2.681667,0.01572329,489.765,2.670602,488.37,2.660309,-1.993333,0.01598609,593.9067,3.0241,591.8933,3.01456,568.0333,2.646806,568.0333,2.646806,474.1185,9.168749,17707.7,870.5495,-0.07168252,0.005613841,-5.710688,0.005105608,273.4633,0.1665312,-0.2042707,0.002234547,42.1,0,0.733,0,-7.69515,0.002777816,-8.162066,0.06265,-2.110002,0.03173047,-32.65752,0.4911081,-1.016635,0.02129187,-15.83297,0.3315975,-0.0227934,0.00431471,-0.370203,0.07007813,1.8935,0.001118041,200,657.3543,0.3437974,1.995815,0.01330617,-7.393791,0.01268426,98.01807,0.01209404,1.028,0.6718333,1.577,178.3,160.9,294.2,146.5,294.2,145.1,199.4
"2024-05-12 16:12:00",3.754,4.032537,12.04307,4.852162,58.4349,89.25928,0.2863004,-9.200398,0.03616698,780.069,0.005368627,5.688667,0.5329442,0.9668333,0.3964448,0.3566666,0.1098691,-8.864167,0.2292564,-2.668333,0.01572329,494.3183,0.7496518,492.9133,0.7489056,-2.001667,0.01213351,599.1667,1.168975,597.135,1.165236,569.85,1.650011,568.9334,2.378844,469.1556,6.837164,17235.7,635.1394,-0.07628136,0.004088309,-5.716364,0.001866104,273.5583,0.1806101,-0.2028015,0.002176383,42.1,0,0.733,0,-7.678717,0.004620906,-8.215516,0.1070169,-2.16307,0.05374806,-33.47888,0.8318846,-0.9739026,0.01857986,-15.16746,0.2893608,-0.02460704,0.007546507,-0.3996596,0.1225679,1.893833,0.001067197,200,657.228,0.7657976,2.028113,0.03429872,-7.409254,0.03985765,98.00857,0.02095512,1.022333,0.7213334,1.555,178.4,160.9,295.7,146.4,295.7,144.5,202.4
